"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",250,0.530230882581874,0.530230882581874,0
"2",300,0.462287794842093,0.462287794842093,0
"3",350,0.465077787996156,0.465077787996156,0
"4",400,0.487756143989848,0.345973183313399,-0.149945883568143
"5",450,0.361788473544195,0.361788473544195,0
"6",500,0.326284911246776,0.292383789607224,-0.0471622155408746
"7",550,0.392919815042226,0.392919815042226,0
"8",600,0.445393096732786,0.445393096732786,0
"9",650,0.388321576865579,0.388321576865579,0
"10",700,0.49419885498989,0.49419885498989,0
"11",750,0.389181515526601,0.389181515526601,0
"12",800,0.385169063064791,0.385169063064791,0
"13",850,0.424655624380924,0.421388444111435,-0.0114950747009602
"14",900,0.533297417940463,0.447440881336853,-0.116769158583157
"15",950,0.53547883733319,0.493710823275583,-0.0569669071855306
"16",1000,0.511684117848888,0.511684117848888,0
"17",1050,0.460992942240457,0.460992942240457,0
"18",1100,0.434722810244709,0.434722810244709,0
"19",1150,0.39482453509569,0.39482453509569,0
"20",1200,0.391565951382547,0.391565951382547,0
"21",1250,0.37140942172134,0.37140942172134,0
"22",1300,0.429194045466176,0.429194045466176,0
"23",1350,0.494162850442575,0.494162850442575,0
"24",1400,0.54401395191645,0.54401395191645,0
"25",1450,0.51936900667434,0.51936900667434,0
"26",1500,0.434992382898352,0.434992382898352,0
"27",1550,0.512374598591461,0.512374598591461,0
"28",1600,0.466985068458777,0.466985068458777,0
"29",1650,0.345269542547287,0.341711232809498,-0.00912074962025166
"30",1700,0.512378159573556,0.512378159573556,0
"31",1750,0.444150432564782,0.444150432564782,0
"32",1800,0.492009204161681,0.492009204161681,0
"33",1850,0.407765792117663,0.407765792117663,0
"34",1900,0.475276043447954,0.475276043447954,0
"35",1950,0.441508969533265,0.441508969533265,0
"36",2000,0.398155362395186,0.39783716765815,-0.00148741506141502
"37",2050,0.400828939695404,0.400828939695404,0
"38",2100,0.430108788386212,0.430108788386212,0
"39",2150,0.33829847813227,0.338256153998715,-0.000266845937207704
"40",2200,0.262968528223289,0.262057428911344,-0.00649488613871538
"41",2250,0.219322410676386,0.198851251059895,-0.089522496922411
"42",2300,0.270741896804499,0.270666720769797,-0.000614648405047175
"43",2350,0.491246407099453,0.377044117854189,-0.0919888030873439
"44",2400,0.326446256117557,0.326446256117557,0
"45",2450,0.491480430577735,0.491480430577735,0
"46",2500,0.52447817141364,0.52447817141364,0
"47",2550,0.520397431691241,0.520397431691241,0
"48",2600,0.239211640856512,0.230642622197963,-0.0567124356984984
"49",2650,0.276941871455104,0.237548874836565,-0.14189317266123
"50",2700,0.300680355024707,0.195286085770922,-0.228568957558309
"51",2750,0.312306494639561,0.312306494639561,0
"52",2800,0.395601022957743,0.395601022957743,0
"53",2850,0.589061074418075,0.589061074418075,0
"54",2900,0.738656827154662,0.738656827154662,0
"55",2950,0.642344589032189,0.640929897282965,-0.00468352521968974
"56",3000,0.470620384109403,0.470620384109403,0
"57",3050,0.283860617563965,0.283860617563965,0
"58",3100,0.247282139075326,0.163477669713176,-0.185440296677802
"59",3150,0.284918660940059,0.160663248413881,-0.235259478073623
"60",3200,0.402742966722621,0.316517335219955,-0.0929307204559862
"61",3250,0.398978285064473,0.398978285064473,0
"62",3300,0.464558057568561,0.464558057568561,0
"63",3350,0.558922463970222,0.558922463970222,0
"64",3400,0.522087760689671,0.522087760689671,0
"65",3450,0.533423267957222,0.533423267957222,0
"66",3500,0.485996818392595,0.485996818392595,0
"67",3550,0.532456853858755,0.532456853858755,0
"68",3600,0.477804997582317,0.477804997582317,0
"69",3650,0.199848610994922,0.177185519725769,-0.0888013359008904
"70",3700,0.206066204589703,0.149631463420465,-0.141012463218252
"71",3750,0.483673158945855,0.483673158945855,0
"72",3800,0.550734276916642,0.550375864154013,-0.00115509841840356
"73",3850,0.635099430936745,0.635033647870599,-0.000377459398180759
"74",3900,0.638822872126051,0.638822872126051,0
"75",3950,0.657943243693821,0.657943243693821,0
"76",4000,0.58649202076691,0.58649202076691,0
"77",4050,0.508606739760841,0.508606739760841,0
"78",4100,0.465679115229666,0.465679115229666,0
"79",4150,0.392804031279426,0.392804031279426,0
"80",4200,0.350386256260149,0.350386256260149,0
"81",4250,0.303067393039615,0.302991695064426,-0.000475977179618649
"82",4300,0.25244496096401,0.202194510137001,-0.150803250840656
"83",4350,0.289796208202455,0.233071999331632,-0.172004071290601
"84",4400,0.329224326280754,0.241737645527825,-0.223411569270608
"85",4450,0.526986035802846,0.526986035802846,0
"86",4500,0.602149328831979,0.602149328831979,0
"87",4550,0.630072775992816,0.630072775992816,0
"88",4600,0.662636488993583,0.658255974514898,-0.0112649773493105
"89",4650,0.646505365756449,0.610039784533683,-0.0422686133305291
"90",4700,0.686194590084063,0.660754418520434,-0.0385967290478823
"91",4750,0.706432776719229,0.706432776719229,0
"92",4800,0.688708076171751,0.688708076171751,0
"93",4850,0.65399502687579,0.65399502687579,0
"94",4900,0.65023296469491,0.65023296469491,0
"95",4950,0.580981764846009,0.580981764846009,0
"96",5000,0.477476787627762,0.477476787627762,0
"97",5050,0.609531086194264,0.609531086194264,0
"98",5100,0.620444160840052,0.620444160840052,0
"99",5150,0.626968005678407,0.626968005678407,0
"100",5200,0.609266707123812,0.609266707123812,0
"101",5250,0.660909177292675,0.660909177292675,0
"102",5300,0.621320234014289,0.621320234014289,0
"103",5350,0.650474772233952,0.650474772233952,0
"104",5400,0.654587662658874,0.654587662658874,0
"105",5450,0.695004201968046,0.695004201968046,0
"106",5500,0.603020624883306,0.602992580873911,-0.000226674440913824
"107",5550,0.52228929684284,0.52228929684284,0
"108",5600,0.369128020995047,0.366150942029374,-0.0138368561907938
"109",5650,0.404048711854932,0.359657203819577,-0.128978212249209
"110",5700,0.600301887802498,0.600136568543068,-0.00116837738238046
"111",5750,0.723877433310831,0.723877433310831,0
"112",5800,0.627425116581224,0.627425116581224,0
"113",5850,0.611859240983223,0.611859240983223,0
"114",5900,0.54077713675426,0.54077713675426,0
"115",5950,0.563085397080847,0.563085397080847,0
"116",6000,0.624684982890765,0.624684982890765,0
"117",6050,0.606444279265053,0.606444279265053,0
"118",6100,0.671799566991246,0.671799566991246,0
"119",6150,0.678251464668156,0.678251464668156,0
"120",6200,0.689081114897099,0.689081114897099,0
"121",6250,0.675097940705007,0.675097940705007,0
"122",6300,0.658247622216944,0.658247622216944,0
"123",6350,0.690483575678458,0.690483575678458,0
"124",6400,0.692082141737482,0.692082141737482,0
"125",6450,0.661432815918547,0.661432815918547,0
"126",6500,0.565943865595727,0.565943865595727,0
"127",6550,0.563646846805658,0.563646846805658,0
"128",6600,0.557974688804102,0.557974688804102,0
"129",6650,0.58571178349665,0.58571178349665,0
"130",6700,0.66624222085584,0.66624222085584,0
"131",6750,0.709609891095035,0.709609891095035,0
"132",6800,0.777594071428821,0.777594071428821,0
"133",6850,0.809513782245898,0.809513782245898,0
"134",6900,0.807190122411513,0.807190122411513,0
"135",6950,0.826263580736281,0.826263580736281,0
"136",7000,0.703793700350781,0.703793700350781,0
"137",7050,0.683110941624509,0.683110941624509,0
"138",7100,0.691443063229945,0.691443063229945,0
"139",7150,0.707717773957244,0.707717773957244,0
"140",7200,0.721386113480826,0.721386113480826,0
"141",7250,0.679805894285258,0.679805894285258,0
"142",7300,0.606799913321461,0.606799913321461,0
"143",7350,0.643834856537064,0.643834856537064,0
"144",7400,0.737431756698486,0.737431756698486,0
"145",7450,0.78619092839039,0.78619092839039,0
"146",7500,0.730613205414453,0.730613205414453,0
"147",7550,0.690935681024089,0.690935681024089,0
"148",7600,0.628675926459752,0.627627928921558,-0.00475598155986647
"149",7650,0.763405742477995,0.763405742477995,0
"150",7700,0.809278911992564,0.809274869599339,-0.000126784452849263
"151",7750,0.750879723261884,0.750879723261884,0
"152",7800,0.792962904516468,0.792962904516468,0
"153",7850,0.829207211161111,0.829207211161111,0
"154",7900,0.775790984315148,0.775790984315148,0
"155",7950,0.751104675255354,0.751104675255354,0
"156",8000,0.7027715726077,0.7027715726077,0
"157",8050,0.810201417424514,0.810201417424514,0
"158",8100,0.834718279164333,0.834718279164333,0
"159",8150,0.828545263644898,0.828545263644898,0
"160",8200,0.858652751809967,0.858652751809967,0
"161",8250,0.872889513255597,0.872889513255597,0
"162",8300,0.850874093996711,0.850347954850629,-0.00211302803665112
"163",8350,0.830835741984718,0.830835741984718,0
"164",8400,0.82418332552645,0.82418332552645,0
"165",8450,0.803549790482984,0.800975452907472,-0.0119795791808517
"166",8500,0.887884879125547,0.887884879125547,0
"167",8550,0.919991682710601,0.919991682710601,0
"168",8600,0.871551421305012,0.871551421305012,0
"169",8650,0.898011833857256,0.898011833857256,0
"170",8700,0.878081734883098,0.878081734883098,0
"171",8750,0.871741599979821,0.871741599979821,0
"172",8800,0.927893148599615,0.927893148599615,0
"173",8850,0.921124258726946,0.921124258726946,0
"174",8900,0.945597085769897,0.945597085769897,0
"175",8950,0.952735648502229,0.952735648502229,0
"176",9000,0.966489765593471,0.966489765593471,0
