"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",250,0.782051380132765,0.782051380132765,0
"2",300,0.784187251624541,0.784187251624541,0
"3",350,0.792642784818229,0.792642784818229,0
"4",400,0.769673075501781,0.769673075501781,0
"5",450,0.756698453709838,0.756698453709838,0
"6",500,0.7916182763869,0.7916182763869,0
"7",550,0.749208345923999,0.749208345923999,0
"8",600,0.805785640660831,0.805785640660831,0
"9",650,0.875996066368169,0.875996066368169,0
"10",700,0.863468988969603,0.863468988969603,0
"11",750,0.835684875207685,0.835684875207685,0
"12",800,0.861703940096338,0.861703940096338,0
"13",850,0.821061269122316,0.821061269122316,0
"14",900,0.829199052269727,0.829199052269727,0
"15",950,0.849955649626259,0.849955649626259,0
"16",1000,0.853936558263176,0.853936558263176,0
"17",1050,0.857542591956871,0.857542591956871,0
"18",1100,0.797559867995725,0.797317265476912,-0.00262838977356196
"19",1150,0.826775714719399,0.826775714719399,0
"20",1200,0.81418893401634,0.81418893401634,0
"21",1250,0.816162791064208,0.816162791064208,0
"22",1300,0.767417708054874,0.767417708054874,0
"23",1350,0.775606927624401,0.775606927624401,0
"24",1400,0.567698181750134,0.54520737182019,-0.158086863480404
"25",1450,0.769378390336085,0.769378390336085,0
"26",1500,0.757673278097014,0.757673278097014,0
"27",1550,0.633907673055436,0.633834005449234,-0.00145012191876058
"28",1600,0.659190370563073,0.658501950244956,-0.00980755027148083
"29",1650,0.662650621991476,0.662622775609409,-0.00058448671698636
"30",1700,0.650754935445557,0.650747835283064,-0.000178896311091991
"31",1750,0.783664843159115,0.783664843159115,0
"32",1800,0.81990360026161,0.81990360026161,0
"33",1850,0.805816650646931,0.805816650646931,0
"34",1900,0.818994096874099,0.818994096874099,0
"35",1950,0.8158674393741,0.8158674393741,0
"36",2000,0.759608391077866,0.759608391077866,0
"37",2050,0.790108408997132,0.790108408997132,0
"38",2100,0.701252202053588,0.701252202053588,0
"39",2150,0.742157769332698,0.742157769332698,0
"40",2200,0.785890776310599,0.785890776310599,0
"41",2250,0.786930154691718,0.786930154691718,0
"42",2300,0.811161070508904,0.811161070508904,0
"43",2350,0.804858799718913,0.804858799718913,0
"44",2400,0.885893848304269,0.885893848304269,0
"45",2450,0.871815383646777,0.871815383646777,0
"46",2500,0.85240705526756,0.85240705526756,0
"47",2550,0.849110425489195,0.849110425489195,0
"48",2600,0.83686776172053,0.83686776172053,0
"49",2650,0.805074644819105,0.805074644819105,0
"50",2700,0.802883516854708,0.802883516854708,0
"51",2750,0.773726422118872,0.773726422118872,0
"52",2800,0.681084615067659,0.68107977645743,-0.000151814882905795
"53",2850,0.772151050046653,0.772151050046653,0
"54",2900,0.833517535184852,0.833517535184852,0
"55",2950,0.823301942803033,0.823301942803033,0
"56",3000,0.733216443176527,0.732983595447242,-0.00375393666550946
"57",3050,0.700844046573955,0.695716144119738,-0.0466281825679392
"58",3100,0.642345607889051,0.609166279346295,-0.184666160193615
"59",3150,0.62173913173833,0.617917268797687,-0.0671241162044142
"60",3200,0.822216085393478,0.822216085393478,0
"61",3250,0.642756806870552,0.639707967706133,-0.0603346888980277
"62",3300,0.72515431019427,0.725153137259997,-0.000103642257409617
"63",3350,0.772796993782891,0.772796993782891,0
"64",3400,0.772882271800878,0.772882271800878,0
"65",3450,0.61983764962834,0.616025820647485,-0.0667184168249185
"66",3500,0.713831073708135,0.713831073708135,0
"67",3550,0.797595258310039,0.797595258310039,0
"68",3600,0.806916293334706,0.806916293334706,0
"69",3650,0.775129081564647,0.775129081564647,0
"70",3700,0.815258922220091,0.815258922220091,0
"71",3750,0.721501657558721,0.721501657558721,0
"72",3800,0.766394561686208,0.766394561686208,0
"73",3850,0.826834616027346,0.826834616027346,0
"74",3900,0.825625649882834,0.825625649882834,0
"75",3950,0.769056658991041,0.769011204893388,-0.000860358129053298
"76",4000,0.725096903959956,0.725096903959956,0
"77",4050,0.768778719704863,0.768778719704863,0
"78",4100,0.637388079588598,0.635756586727431,-0.0414608634080151
"79",4150,0.685340121502829,0.685265647227471,-0.00251508725364334
"80",4200,0.772609845744545,0.772609845744545,0
"81",4250,0.78767957510652,0.78767957510652,0
"82",4300,0.751129192560831,0.751129192560831,0
"83",4350,0.832966483638397,0.832966483638397,0
"84",4400,0.85540824196243,0.85540824196243,0
"85",4450,0.825336158649714,0.825336158649714,0
"86",4500,0.845714853340837,0.845714853340837,0
"87",4550,0.913508933786116,0.913508933786116,0
