"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",100,0.831404568158776,-0.396617466373437,-0.722012548574692
"2",120,0.875390909005563,-0.402476609819525,-0.777361331065516
"3",140,0.873388966689616,-0.462388285508372,-0.74091442245471
"4",160,0.762992568844371,0.172657942016347,-0.722062123007477
"5",180,0.843175181041355,0.22392808585818,-0.812877480500961
"6",200,0.850472130264268,0.199531044545288,-0.826719385138364
"7",220,0.8488856784004,0.17408994395636,-0.830822399812825
"8",240,0.858534630004208,0.21682501515091,-0.830687069314764
"9",260,0.825104493492919,0.170089833076834,-0.807359231924891
"10",280,0.772213450910558,-0.500270914666101,-0.553527932817922
"11",300,0.832488777021455,-0.593622984981978,-0.551627254953112
"12",320,0.880899483819476,-0.511418470108414,-0.659071697393269
"13",340,0.854106570299851,-0.402075107297896,-0.709880703361658
"14",360,0.882752049657965,-0.326133535599548,-0.790495135679533
"15",380,0.866837731632299,-0.270968144211852,-0.823384846083558
"16",400,0.813884915897422,-0.257503991729657,-0.770267630956993
"17",420,0.8369835694963,-0.229926198785225,-0.804761610673658
"18",440,0.827198982455371,-0.271658560184331,-0.778084889787362
"19",460,0.840175381907681,-0.217480024609268,-0.804754523718791
"20",480,0.894013455226248,-0.221401592163014,-0.866153929266075
"21",500,0.919913211287092,-0.273319361203836,-0.878269812829131
"22",520,0.927295725765125,-0.256494266367394,-0.887262713490096
"23",540,0.862832258233789,-0.490753740445731,-0.62155807057693
"24",560,0.874785767374423,-0.241829441855541,-0.837890264606983
"25",580,0.876498611821518,-0.466098570749787,-0.657334793296716
"26",600,0.844793968126208,-0.204795161894752,-0.819567194165786
"27",620,0.86585155303246,-0.202140313310779,-0.841687298123644
"28",640,0.79597913138925,-0.275190185994016,-0.736004922625412
"29",660,0.798203005742149,-0.16445095607239,-0.74996794003954
"30",680,0.80987141515833,-0.390762988840196,-0.709296995875607
"31",700,0.822970083369139,-0.426181033823675,-0.7039827617
"32",720,0.794931850849296,-0.427648164817298,-0.670024471194781
"33",740,0.774285555636486,-0.221827471912351,-0.741766055469196
"34",760,0.850493668146967,-0.273979594589493,-0.805136095668562
"35",780,0.816156027821885,-0.300071400395267,-0.743197725424167
"36",800,0.824009874434695,-0.382244394240244,-0.687728905140848
"37",820,0.834875979882259,-0.318955425879903,-0.767462424801118
"38",840,0.693067936432067,-0.41607961045583,-0.527281435491191
"39",860,0.771624593066854,-0.471710358406941,-0.608301445416655
"40",880,0.743218444218491,-0.29251074931462,-0.679106419638243
"41",900,0.792241068831138,-0.434684558525453,-0.646070637619246
"42",920,0.805101319935798,0.12754607413256,-0.743533379312366
"43",940,0.742548942741413,0.100725204342809,-0.679157213947145
"44",960,0.817783670133171,-0.361915328248548,-0.704932089435199
"45",980,0.835548797317202,-0.367074913580571,-0.712002645608652
"46",1000,0.87869931021562,-0.308582663599121,-0.821449017586253
"47",1020,0.865503541721151,-0.258347302009371,-0.826030782855076
"48",1040,0.876520477999634,-0.254767666960566,-0.838664019056756
"49",1060,0.869056647351168,-0.205286409315492,-0.844445785373337
"50",1080,0.864478701852907,-0.219181301684002,-0.836210546985899
"51",1100,0.902004563649089,-0.316349919926991,-0.771693854052642
"52",1120,0.862541289618293,-0.259815882934304,-0.802942404819783
"53",1140,0.888644409064192,-0.216978590806357,-0.861462166543657
"54",1160,0.902151616386984,-0.390009226094715,-0.733247418453707
"55",1180,0.912647094454168,-0.341490512697439,-0.793140682863503
"56",1200,0.864650055053146,-0.705997286994465,-0.4548479199116
"57",1220,0.855370624664014,-0.535238924565586,-0.580746701916485
"58",1240,0.813981779252875,-0.560063244387737,-0.520698555825142
"59",1260,0.780212621991746,-0.215887657579329,-0.74785625389419
"60",1280,0.834565619457582,-0.251617209180296,-0.795695156656224
"61",1300,0.896260320530869,-0.339781980024569,-0.829344359268257
"62",1320,0.898360386522548,-0.292497186363276,-0.849047144648248
"63",1340,0.896777744796159,-0.284895847347731,-0.850307926782843
"64",1360,0.92971658945721,-0.188851732407526,-0.908936843282377
"65",1380,0.912870918693307,-0.226699965095979,-0.884262154079206
"66",1400,0.898023855478918,-0.219985067566162,-0.870655733369871
"67",1420,0.873745032884493,-0.222617338981188,-0.844898388926262
"68",1440,0.857696849990685,-0.335170171933178,-0.789458900979321
"69",1460,0.879325169146392,-0.340875838900196,-0.810548530309175
"70",1480,0.815776758740026,0.0869830737485883,-0.775294072270062
"71",1500,0.897142075485823,-0.388155557867023,-0.808810612089192
"72",1520,0.906594438093957,-0.35848052554573,-0.832668228348323
"73",1540,0.826890418648227,-0.284410458029832,-0.776410837583965
"74",1560,0.829021127134364,-0.290959467385643,-0.776241699149047
"75",1580,0.859340045737086,-0.25450950111437,-0.820767370529593
"76",1600,0.8316468020141,-0.192868893311446,-0.797184612767351
"77",1620,0.822834729931706,-0.226823514586896,-0.785692719442679
"78",1640,0.845181488484471,-0.22899600930183,-0.810779002846528
"79",1660,0.831542097000256,-0.243622472408572,-0.784685517800084
"80",1680,0.812180799353563,-0.281102475951463,-0.761929118366325
"81",1700,0.839239967356271,-0.316175916849082,-0.776946606016117
"82",1720,0.885900862072161,-0.333228228139454,-0.82072273941874
"83",1740,0.901986208736596,-0.388192992535971,-0.814159521228637
"84",1760,0.889172416124407,-0.345296169294232,-0.818685743211576
"85",1780,0.886097008774531,-0.362805610924271,-0.717855748954555
"86",1800,0.921726738587701,-0.362005582416714,-0.751153530043887
"87",1820,0.901739587592056,-0.300458169107228,-0.84977426552336
"88",1840,0.893107379535441,-0.285718638772657,-0.846158283978462
"89",1860,0.88073336969772,-0.289875557452152,-0.831644815893198
"90",1880,0.863793652667707,-0.336066982802253,-0.795716442944961
"91",1900,0.85334493605854,-0.330017792889545,-0.786912037224714
"92",1920,0.946352778182272,-0.339117838957088,-0.883500179514687
"93",1940,0.944075145377029,-0.328235738527163,-0.88514749792662
"94",1960,0.931559817608226,-0.360375348786808,-0.833176567273443
"95",1980,0.926414332656085,-0.308057729504681,-0.873226523074854
"96",2000,0.904261602372193,-0.31113421859591,-0.848893130670629
"97",2020,0.869340742703218,-0.299537921521786,-0.816022003763568
"98",2040,0.760002519854407,-0.251037521723453,-0.716456775261616
"99",2060,0.72956291004561,-0.264066731622384,-0.67912042656444
"100",2080,0.866647672001418,-0.316369429745727,-0.806816672464256
"101",2100,0.823181174596405,-0.284036125781708,-0.772373373481616
"102",2120,0.816548755110311,-0.269673362515068,-0.755576768373373
"103",2140,0.860708832919376,-0.346627877447486,-0.787800222344791
"104",2160,0.831164619008097,-0.307152443406565,-0.772301817260692
"105",2180,0.885090449402971,-0.393247314536932,-0.79206054111094
"106",2200,0.852927595620323,-0.410371483588372,-0.747680721140099
"107",2220,0.884481283908458,-0.306131047487964,-0.829667500308624
"108",2240,0.921899008421126,-0.301869225126823,-0.871068748279615
"109",2260,0.910989373671454,-0.28033345072088,-0.866775572660906
"110",2280,0.91104122224352,-0.271639575728689,-0.86959458580829
"111",2300,0.878047680347118,-0.327770033035495,-0.814560795412694
"112",2320,0.803746021825789,-0.340840708856126,-0.725636117530074
"113",2340,0.751474599579206,-0.303933979056656,-0.672133402505657
"114",2360,0.73398464437451,-0.345828076616431,-0.644734504032205
"115",2380,0.807282922699935,-0.118241368857267,-0.798499679366426
"116",2400,0.780798218646737,-0.107827784551498,-0.773130115510351
"117",2420,0.915922208661306,-0.293585652489566,-0.867507557160725
"118",2440,0.898287530436047,-0.330715903942608,-0.83509381241363
"119",2460,0.874657799688858,-0.325090337424169,-0.811976868743004
"120",2480,0.875429022651575,-0.328997314671272,-0.811234361689372
"121",2500,0.877087635297433,-0.36114347098943,-0.799264122649009
"122",2520,0.749738506109675,-0.240413126912511,-0.708949545995428
"123",2540,0.832994344736492,-0.383603278585699,-0.739347648247193
"124",2560,0.817816811382638,-0.0943574720262067,-0.812267900951477
"125",2580,0.832520697214355,-0.0280713515353441,-0.831054819352301
"126",2600,0.854686086642034,-0.407476663874705,-0.738150919735953
"127",2620,0.837815528043803,-0.260445020174903,-0.788431916096125
"128",2640,0.793010686038476,-0.117676026710593,-0.751584825881197
"129",2660,0.874724879257836,-0.351744208882656,-0.800626250131041
"130",2680,0.814785287588061,-0.28301797851535,-0.764005785789123
"131",2700,0.84802061365986,-0.269446259642739,-0.804049286340143
"132",2720,0.836701382047991,-0.238047150013116,-0.802092363535073
"133",2740,0.876178258665305,-0.240377829023541,-0.842541761832234
"134",2760,0.919230362095616,-0.187229291500173,-0.899954087745791
"135",2780,0.932469624927959,-0.183145851283956,-0.914301468921327
"136",2800,0.913298037494739,-0.192540822729023,-0.892763531968183
"137",2820,0.90825782583986,-0.187773082913203,-0.888549488469059
"138",2840,0.874093828086897,-0.24501042356438,-0.838130287738223
"139",2860,0.845565395449045,-0.331376532952033,-0.729499857694706
"140",2880,0.865752804333685,-0.391657827281197,-0.634286502227435
"141",2900,0.84988433449399,-0.131098694755131,-0.659668552835187
"142",2920,0.845340989492443,-0.258662533389602,-0.791745251857421
"143",2940,0.907262305076927,-0.256411604662064,-0.859173077406482
"144",2960,0.860097549866258,-0.237885863735934,-0.826516119672073
"145",2980,0.785872844901639,-0.268847165545722,-0.738368098214896
"146",3000,0.887660768315564,-0.363663547613771,-0.792088133669132
"147",3020,0.757556378613429,-0.380763255188727,-0.61356627420011
"148",3040,0.792634215696864,-0.208218820629912,-0.721636128456339
"149",3060,0.824957221888454,-0.338015229061232,-0.752468526001378
"150",3080,0.878722877805721,-0.226426245754185,-0.8490389525911
"151",3100,0.829725379397653,-0.17555741975866,-0.810914902717643
"152",3120,0.803796404113471,-0.153133546437807,-0.788989130865379
"153",3140,0.767592135616469,-0.206539561564588,-0.733336910831558
"154",3160,0.841341238464956,-0.2462194047149,-0.804470534748608
"155",3180,0.911949982814113,-0.276730573237246,-0.86876344676571
"156",3200,0.889149325966862,-0.31393086648139,-0.831123573772352
"157",3220,0.876185340029266,-0.316160577351917,-0.816835599759216
"158",3240,0.832617463132736,-0.314913028622346,-0.770722889109544
"159",3260,0.840781431847513,-0.340437783141016,-0.768489224013005
"160",3280,0.824530958186131,-0.334997698350376,-0.753356495458668
"161",3300,0.791089828664361,-0.281807480546943,-0.738514614713435
"162",3320,0.859941187139356,-0.271138220385856,-0.81496448643771
"163",3340,0.859155577398393,-0.27739005084014,-0.813112029066961
"164",3360,0.900594112510067,-0.304743828143976,-0.847454959063987
"165",3380,0.926407397496561,-0.308886146217353,-0.87338816254894
"166",3400,0.878754934785413,-0.346752073423636,-0.80742469768474
"167",3420,0.876746643767123,-0.3429155247654,-0.806878983332585
"168",3440,0.882553426224581,-0.303143332359879,-0.828837244291471
"169",3460,0.885118071664758,-0.296074907206486,-0.834117592775903
"170",3480,0.861530467140982,-0.30039679523029,-0.807303233435139
"171",3500,0.869370281810246,-0.271643168161277,-0.825821967988024
"172",3520,0.873239291606791,-0.320002564911603,-0.812467170657452
"173",3540,0.866569182312077,-0.322814147109407,-0.804171836610159
"174",3560,0.847990725086912,-0.300595889964937,-0.79289008779632
"175",3580,0.832997616870235,-0.333214361033509,-0.763402522145557
"176",3600,0.83023824749658,-0.370314607237004,-0.743030175789784
"177",3620,0.831843613231144,0.00467162966516468,-0.78111662854517
"178",3640,0.862695776304166,0.0556540066010991,-0.813930715353721
"179",3660,0.875628971695098,-0.312453545953592,-0.772557734423509
"180",3680,0.851420065045914,-0.1317305398297,-0.806230575320357
"181",3700,0.839452721511617,-0.0625597193264842,-0.81522397635493
"182",3720,0.866119951827674,-0.192661695222668,-0.84439436390319
"183",3740,0.865866463948032,-0.194783214516145,-0.843651660929464
"184",3760,0.861116191776341,0.00268668624871319,-0.851566648444272
"185",3780,0.900172700057115,-0.25615590595183,-0.862943094870674
"186",3800,0.884469011980912,-0.227645813201132,-0.854654165192529
"187",3820,0.928172567373676,-0.271170040235446,-0.887670194887053
"188",3840,0.91838815673542,-0.285031554227882,-0.87294122063668
"189",3860,0.92022828789858,-0.279000409662194,-0.876907328454951
"190",3880,0.903793327956977,-0.327978737874751,-0.842169180804046
"191",3900,0.929441895792174,-0.305076250549421,-0.877647475164505
"192",3920,0.921803986495733,-0.312509223084124,-0.86711629968063
"193",3940,0.920791496310905,-0.303856694951783,-0.868764915761068
"194",3960,0.910188509214256,-0.305370112421192,-0.857290800721263
"195",3980,0.925810566349032,-0.359109090917088,-0.853318938280933
"196",4000,0.894735216992469,-0.298188894532451,-0.841133841432262
"197",4020,0.895699282214494,-0.306893406081837,-0.841474442347108
"198",4040,0.864067487825529,-0.274511875531036,-0.819290897483977
"199",4060,0.818259194862174,-0.254028684294917,-0.777805197280597
"200",4080,0.809138250839407,-0.25912715020347,-0.766493789167621
"201",4100,0.722169346968122,0.0603349734086282,-0.716761925290491
"202",4120,0.916133013755162,-0.165313550565152,-0.901080731519081
"203",4140,0.891207807704723,-0.183664873968625,-0.870682371890812
"204",4160,0.90504937116822,-0.190199720542546,-0.882637102846748
"205",4180,0.913436994866642,-0.174318120825916,-0.896264109499289
"206",4200,0.929346560917767,-0.121663848374081,-0.912627599985512
"207",4220,0.924756405109838,-0.257006829727313,-0.887211868504172
"208",4240,0.925929746992853,-0.220884065535127,-0.899119287515508
"209",4260,0.91641839557961,-0.22567219012989,-0.87970158314616
"210",4280,0.887912561927917,-0.299570236396453,-0.835834863279262
"211",4300,0.936401268662446,-0.296787895356123,-0.888080194474992
"212",4320,0.928925110298581,-0.310021944687259,-0.875632503090408
"213",4340,0.938355814756138,-0.320280635043205,-0.881998538782408
"214",4360,0.925384789675672,-0.298008695087573,-0.876079556130111
"215",4380,0.920550997649088,-0.339534275196399,-0.855638593743075
"216",4400,0.923714420885895,-0.261179740608737,-0.886012636502825
"217",4420,0.907369552714464,-0.239704383952529,-0.875126199774728
"218",4440,0.929337387197024,-0.260834843693586,-0.89197726550746
"219",4460,0.934598104631616,-0.254504386123474,-0.899270955621797
"220",4480,0.913700821368245,-0.19278056254422,-0.893123879073592
"221",4500,0.894588206501055,-0.233093441154093,-0.863671619864673
"222",4520,0.857905600495585,-0.182447356350577,-0.838033256688173
"223",4540,0.887211093601201,-0.152792682050091,-0.873920125441845
"224",4560,0.805486570733908,-0.0176769737896421,-0.79699263644907
"225",4580,0.877591011831569,-0.212572062073805,-0.851443009676522
"226",4600,0.899817495487266,-0.267334798626603,-0.837516468818131
"227",4620,0.911286323332535,-0.21775752898822,-0.884761356082677
"228",4640,0.90884331464687,-0.249233150339645,-0.873993253255439
"229",4660,0.866150191168547,-0.273065114620274,-0.821960754735393
"230",4680,0.876188956190656,-0.293181168812621,-0.825660852923742
"231",4700,0.881611589960464,-0.268349754629663,-0.839758879769655
"232",4720,0.861535155692749,-0.218724370703541,-0.833228325182332
