"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",100,0.66208950579277,-0.66208950579277,0
"2",120,0.74313118581262,-0.74313118581262,0
"3",140,0.758737921103986,-0.758737921103986,0
"4",160,0.675143255769864,-0.662990128339423,0
"5",180,0.726400085234271,-0.726400085234271,0
"6",200,0.616311423873258,0.553268918469713,0
"7",220,0.651895792068899,-0.651895792068899,0
"8",240,0.544490670778258,0.465877183054444,0
"9",260,0.475940723261861,0.435911318491874,0
"10",280,0.51987389664553,0.511417537948856,0
"11",300,0.526095470787988,-0.493930990098841,0
"12",320,0.749848040425732,-0.232400911291579,-0.129491458124665
"13",340,0.485119652793047,0.343386794251008,0
"14",360,0.676567293505675,-0.198702812364738,-0.0592164161269702
"15",380,0.696162682447889,-0.162567016385207,-0.103966075788064
"16",400,0.590277735818796,-0.356928362125924,-0.0337426975199623
"17",420,0.798977844924025,-0.52520810341922,-0.0050632035782218
"18",440,0.64600578546324,-0.64600578546324,0
"19",460,0.726410090301442,-0.726410090301442,0
"20",480,0.746447967970881,-0.746447967970881,0
"21",500,0.683639161348754,-0.683639161348754,0
"22",520,0.63212090505042,-0.63212090505042,0
"23",540,0.572150300640385,-0.572102120935225,-0.000645080162468525
"24",560,0.674941210278088,-0.674941210278088,0
"25",580,0.631851494674229,-0.631851494674229,0
"26",600,0.629948801506526,-0.629948801506526,0
"27",620,0.693136210176873,-0.693136210176873,0
"28",640,0.713712095249053,-0.601300439731972,-0.0105267677375473
"29",660,0.771028722640856,-0.771028722640856,0
"30",680,0.752231049207993,-0.737999729328298,0
"31",700,0.685691753974876,0.61542251674546,0
"32",720,0.771657342555042,-0.771657342555042,0
"33",740,0.773605131741278,-0.773605131741278,0
"34",760,0.750289248298764,-0.750289248298764,0
"35",780,0.825778125833036,-0.825778125833036,0
"36",800,0.78354930343656,-0.78354930343656,0
"37",820,0.780041182925212,-0.356413891837312,0
"38",840,0.714082110919253,-0.0857250779548838,0
"39",860,0.775708519583701,-0.549505430808903,0
"40",880,0.761838727231297,-0.761838727231297,0
"41",900,0.836870334223954,-0.836870334223954,0
"42",920,0.710137861616901,-0.710137861616901,0
"43",940,0.668721220426549,-0.668721220426549,0
"44",960,0.705282662822095,-0.705282662822095,0
"45",980,0.705247801300364,-0.59074748945618,0
"46",1000,0.697308500554763,-0.221611290032237,-0.00275569591144999
"47",1020,0.767479938773994,-0.767479938773994,0
"48",1040,0.727004154965023,-0.727004154965023,0
"49",1060,0.742582232338116,-0.742582232338116,0
"50",1080,0.638636120665437,-0.186714474084868,0
"51",1100,0.646043708756998,0.406298567187374,0
"52",1120,0.669107183113161,0.572683022369802,0
"53",1140,0.815212312140344,-0.631050057413746,0
"54",1160,0.819472881434085,-0.44117957631349,0
"55",1180,0.725719365549692,-0.699593125310098,0
"56",1200,0.634433879395564,0.582093078669864,0
"57",1220,0.507062554842623,-0.362590994725537,-0.268882738150291
"58",1240,0.560885503306369,-0.428874765072113,-0.361326006031011
"59",1260,0.635138813484029,-0.450249247023777,-0.447914315651417
"60",1280,0.715897825435106,-0.0030336420321754,-0.242349492150759
"61",1300,0.615999954410547,0.539672196784375,0
"62",1320,0.698053962532032,0.698053962532032,0
"63",1340,0.678845106108255,0.678845106108255,0
"64",1360,0.695260189248196,0.695260189248196,0
"65",1380,0.758231855277331,-0.100638898238843,-0.142992707338167
"66",1400,0.58583217514034,0.532121893662306,-0.0163906340976045
"67",1420,0.699909167837923,-0.699909167837923,0
"68",1440,0.702380239941033,-0.702380239941033,0
"69",1460,0.768394678874057,-0.768394678874057,0
"70",1480,0.716616157122092,-0.611902941514131,-0.00442130681979638
"71",1500,0.717479768784907,-0.717479768784907,0
"72",1520,0.552709796114273,0.51876285714177,0
"73",1540,0.731419627701782,-0.731419627701782,0
"74",1560,0.624556592116013,-0.601793916243643,0
"75",1580,0.733559751380313,-0.733559751380313,0
"76",1600,0.740205710836388,-0.740205710836388,0
"77",1620,0.610976393823711,0.397614324191357,-0.0456278443031311
"78",1640,0.78376054521604,-0.305982272155627,-0.199280083534518
"79",1660,0.495487966248468,0.0939985638187735,-0.0763426820684708
"80",1680,0.475224150735177,-0.459600234331588,-0.0496813630497627
"81",1700,0.692522210373589,-0.692522210373589,0
"82",1720,0.765907217080355,-0.765907217080355,0
"83",1740,0.820529364435601,-0.820529364435601,0
"84",1760,0.792458541593227,-0.792458541593227,0
"85",1780,0.707685819238761,-0.673512146750852,-0.00713976819199737
"86",1800,0.700471835900133,-0.699858386035678,-0.004343573657949
"87",1820,0.754390002055685,-0.742685863860197,0
"88",1840,0.770136343762345,-0.223670034803609,-0.0742970592014927
"89",1860,0.765572132317679,-0.765572132317679,0
"90",1880,0.65749203355551,-0.568846858977799,0
"91",1900,0.722141376056095,-0.221645337931292,-0.00758897806326335
"92",1920,0.735707766841959,-0.563920229041812,-0.0673579287054863
"93",1940,0.803439744855682,-0.586779938938934,-0.023557237442677
"94",1960,0.786932591606139,-0.701232450227011,-0.00118151859156362
"95",1980,0.74487898314924,-0.74482191198524,-0.000826236425771342
"96",2000,0.777003395606973,-0.762944558705005,0
"97",2020,0.793799205797226,-0.793799205797226,0
"98",2040,0.768441921766439,-0.755041228716155,0
"99",2060,0.654011059588402,0.0484201861118063,0
"100",2080,0.791777032984206,-0.791777032984206,0
"101",2100,0.82995669383176,-0.82995669383176,0
"102",2120,0.821936620940285,-0.706297170601299,0
"103",2140,0.832762139273976,-0.832762139273976,0
"104",2160,0.765722336087664,-0.731777607385692,0
"105",2180,0.772085023970479,-0.772085023970479,0
"106",2200,0.837291773182141,-0.837291773182141,0
"107",2220,0.784583192421833,-0.784583192421833,0
"108",2240,0.758853199491128,-0.758853199491128,0
"109",2260,0.791041740410487,-0.791041740410487,0
"110",2280,0.738430959169108,-0.262802355610797,-0.12271116622608
"111",2300,0.704548278506838,-0.704548278506838,0
"112",2320,0.791817161333538,-0.791817161333538,0
"113",2340,0.798712042404087,-0.798712042404087,0
"114",2360,0.809410795957343,-0.208201316977473,0
"115",2380,0.871106271157655,-0.422304506604838,0
"116",2400,0.829204380175368,-0.829204380175368,0
"117",2420,0.72525105650731,-0.72525105650731,0
"118",2440,0.772850383364616,-0.772850383364616,0
"119",2460,0.695378636103902,-0.695378636103902,0
"120",2480,0.698889007428282,-0.639760923600475,0
"121",2500,0.803127814483451,-0.227563403535681,-0.173863397896585
"122",2520,0.834421203578861,-0.510849517903917,-0.0888749332444029
"123",2540,0.813075296833622,-0.813075296833622,0
"124",2560,0.83865466079385,-0.83865466079385,0
"125",2580,0.799589142381597,-0.721662230566233,0
"126",2600,0.819698353140687,-0.819698353140687,0
"127",2620,0.877121473717957,-0.877121473717957,0
"128",2640,0.757309799946922,-0.757309799946922,0
"129",2660,0.763739654606886,-0.763739654606886,0
"130",2680,0.830947419323715,-0.830947419323715,0
"131",2700,0.811348944808683,-0.811348944808683,0
"132",2720,0.779137088802544,-0.779137088802544,0
"133",2740,0.827777001355863,-0.827777001355863,0
"134",2760,0.776314047128145,-0.776314047128145,0
"135",2780,0.823262731797777,-0.823262731797777,0
"136",2800,0.883743573751467,-0.883743573751467,0
"137",2820,0.776515103340308,-0.776515103340308,0
"138",2840,0.620388048060061,-0.335181405230131,-0.076749876945224
"139",2860,0.66145453923999,0.66145453923999,0
"140",2880,0.606120385471536,-0.450574640320633,-0.116050930454795
"141",2900,0.436923923493152,-0.390103859142575,-0.124865762286067
"142",2920,0.509580478723343,0.509580478723343,0
"143",2940,0.670965557853619,-0.670965557853619,0
"144",2960,0.83917045136805,-0.83917045136805,0
"145",2980,0.846402356116384,-0.846402356116384,0
"146",3000,0.868591914782577,-0.868591914782577,0
"147",3020,0.865096039770052,-0.865096039770052,0
"148",3040,0.798021065921843,-0.798021065921843,0
"149",3060,0.817887382306635,-0.817887382306635,0
"150",3080,0.879077615860685,-0.879077615860685,0
"151",3100,0.900004249217989,-0.900004249217989,0
"152",3120,0.819902039439123,-0.819902039439123,0
"153",3140,0.746263714543623,-0.746263714543623,0
"154",3160,0.55856844500713,-0.541783137414958,0
"155",3180,0.558292859929147,-0.557236824302569,-0.00517077243148989
"156",3200,0.677910374527235,-0.677910374527235,0
"157",3220,0.784007725002963,-0.784007725002963,0
"158",3240,0.781062328528958,-0.781062328528958,0
"159",3260,0.711752631010085,-0.711752631010085,0
"160",3280,0.773090932335439,-0.773090932335439,0
"161",3300,0.813759194227493,-0.813759194227493,0
"162",3320,0.794475270237232,-0.794475270237232,0
"163",3340,0.8186026708583,-0.704338663899238,0
"164",3360,0.792910237534059,-0.792910237534059,0
"165",3380,0.802486043485711,-0.802486043485711,0
"166",3400,0.834212989389952,-0.834212989389952,0
"167",3420,0.911715022840641,-0.911715022840641,0
"168",3440,0.87677909204976,-0.87677909204976,0
"169",3460,0.89758100890267,-0.89758100890267,0
"170",3480,0.87459505591464,-0.87459505591464,0
"171",3500,0.812404552522241,-0.812404552522241,0
"172",3520,0.84282905517151,-0.84282905517151,0
"173",3540,0.848783732846456,-0.848783732846456,0
"174",3560,0.704700203543671,-0.704700203543671,0
"175",3580,0.711782352650739,-0.711782352650739,0
"176",3600,0.903220310178864,-0.903220310178864,0
"177",3620,0.854149229500459,-0.8289492711935,-0.00139835933082782
"178",3640,0.910703406132555,-0.910703406132555,0
"179",3660,0.925807632479794,-0.902203027044417,0
"180",3680,0.859497740213848,-0.859497740213848,0
"181",3700,0.813033603219673,-0.596325897335781,0
"182",3720,0.802469120536749,-0.771155158803453,0
"183",3740,0.619464687504666,0.593297674019725,-0.00169064105389371
"184",3760,0.569487026890583,-0.564427148068955,-0.062876789879817
"185",3780,0.742422407533029,-0.742422407533029,0
"186",3800,0.83839586547804,-0.83839586547804,0
"187",3820,0.84741228252309,-0.84741228252309,0
"188",3840,0.917699609378041,-0.917699609378041,0
"189",3860,0.906649588946918,-0.906649588946918,0
"190",3880,0.867911210241656,-0.867911210241656,0
"191",3900,0.852822161519658,-0.852822161519658,0
"192",3920,0.86316725118997,-0.86316725118997,0
"193",3940,0.821075820352101,-0.821075820352101,0
"194",3960,0.884365697258525,-0.839426528550685,-0.00929985033840507
"195",3980,0.919402968923629,-0.919402968923629,0
"196",4000,0.890281745738811,-0.890281745738811,0
"197",4020,0.842794190934621,-0.842794190934621,0
"198",4040,0.901986386127189,-0.901986386127189,0
"199",4060,0.88079385428873,-0.88079385428873,0
"200",4080,0.867276187708952,-0.867276187708952,0
"201",4100,0.928421264310953,-0.928421264310953,0
"202",4120,0.923825173543622,-0.923825173543622,0
"203",4140,0.924974526103366,-0.924974526103366,0
"204",4160,0.934115586703037,-0.934115586703037,0
"205",4180,0.94344212777946,-0.94344212777946,0
"206",4200,0.958070896191689,-0.958070896191689,0
"207",4220,0.955707490657013,-0.955707490657013,0
"208",4240,0.919568511735406,-0.919568511735406,0
"209",4260,0.872215315211757,-0.872215315211757,0
"210",4280,0.840132430026317,-0.599762117588825,-0.0178647790360988
"211",4300,0.695110150583732,-0.642022278855561,0
"212",4320,0.688997237966641,-0.591144660074216,-0.0172190347823274
"213",4340,0.707042889837547,-0.706736644527071,-0.00223484966448122
"214",4360,0.815880204062203,-0.42716460511956,-0.0447883450776703
"215",4380,0.745069578595894,-0.249417482749132,-0.0051558566003754
"216",4400,0.86911230241806,-0.86911230241806,0
"217",4420,0.844226040035335,-0.844226040035335,0
"218",4440,0.790951667572108,-0.790951667572108,0
"219",4460,0.749398098566273,-0.749398098566273,0
"220",4480,0.708566187414244,-0.708566187414244,0
"221",4500,0.651383997121134,-0.651383997121134,0
"222",4520,0.760544408479228,-0.760544408479228,0
"223",4540,0.716994393407532,-0.716994393407532,0
"224",4560,0.779107873933242,-0.766318400793057,0
"225",4580,0.77129857033774,-0.77129857033774,0
"226",4600,0.732749129726875,-0.732749129726875,0
"227",4620,0.686255106220901,-0.686255106220901,0
"228",4640,0.873394493718005,-0.873394493718005,0
"229",4660,0.818072080752545,-0.627555197015992,-0.108596092881527
"230",4680,0.881189101722334,-0.881189101722334,0
"231",4700,0.88603562339942,-0.88603562339942,0
"232",4720,0.869565393917321,-0.869565393917321,0
"233",4740,0.838810137441292,-0.838810137441292,0
"234",4760,0.817213366189112,-0.817213366189112,0
"235",4780,0.690350574788106,-0.678383366109375,-0.126566206899946
"236",4800,0.74198958035895,-0.741893578673786,-0.00198910079377548
"237",4820,0.802927082154818,-0.802927082154818,0
"238",4840,0.779485569378945,-0.779485569378945,0
"239",4860,0.814917107693185,-0.802041177964634,0
"240",4880,0.891171851088664,-0.726780979354872,0
"241",4900,0.883165327203788,-0.883165327203788,0
"242",4920,0.844128687761431,-0.829998302575122,0
"243",4940,0.872711254225336,-0.782055391526283,-0.00161877666369182
"244",4960,0.897918653243104,-0.897918653243104,0
"245",4980,0.838826161919268,-0.838826161919268,0
"246",5000,0.848161551480317,-0.848161551480317,0
"247",5020,0.833804487688599,-0.833804487688599,0
"248",5040,0.759050439744625,-0.759050439744625,0
"249",5060,0.758253535642115,-0.568968297156094,-0.00556589427434179
