"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",100,0.640430316122248,-0.628293941732724,-0.0030242204282865
"2",120,0.708491936262685,0.697371761440692,0
"3",140,0.776499543982097,0.776499543982097,0
"4",160,0.784962163496907,0.784962163496907,0
"5",180,0.838347030778266,0.838347030778266,0
"6",200,0.875693446577462,0.875693446577462,0
"7",220,0.795824533484541,0.685278480259268,0
"8",240,0.857055470221297,0.857055470221297,0
"9",260,0.813250739190848,0.813250739190848,0
"10",280,0.710645283278742,0.68364444922891,0
"11",300,0.742647181160046,0.742647181160046,0
"12",320,0.753395762550637,0.753395762550637,0
"13",340,0.76316535679658,0.733551341836352,0
"14",360,0.710159753686235,-0.710159753686235,0
"15",380,0.636379418204091,-0.611563104440273,0
"16",400,0.688357510146835,-0.688357510146835,0
"17",420,0.592638044658586,-0.580654710650297,0
"18",440,0.797148364141776,0.44300743466655,-0.0147103322321936
"19",460,0.859978997513111,0.859978997513111,0
"20",480,0.893084233286461,0.893084233286461,0
"21",500,0.845997469375806,0.783812621823353,-0.0256726006753678
"22",520,0.88664810182193,0.784191265471395,-0.0301498281978016
"23",540,0.869512089028106,0.635940519760291,-0.020868838629258
"24",560,0.7735286474226,0.363290488085462,-0.0668036108831127
"25",580,0.665808013027302,0.64000679795803,-0.182840670047613
"26",600,0.84100587897242,0.84100587897242,0
"27",620,0.66193901858788,0.639142912935931,-0.104801335761831
"28",640,0.728206443864368,-0.477009189638388,0
"29",660,0.739404211886442,-0.679098860489482,0
"30",680,0.735287577818636,-0.705384078447061,0
"31",700,0.748623415729331,-0.256802685861221,0
"32",720,0.734811856650413,-0.515664501193953,0
"33",740,0.690282733906157,-0.690282733906157,0
"34",760,0.616560199089597,-0.201989826526247,0
"35",780,0.707783870579072,-0.707783870579072,0
"36",800,0.699783972212311,0.519920175929243,0
"37",820,0.716896808892433,-0.70269793844985,0
"38",840,0.825672863206261,0.825672863206261,0
"39",860,0.854621578618518,0.854621578618518,0
"40",880,0.840264507979853,0.840264507979853,0
"41",900,0.793762860865676,0.793762860865676,0
"42",920,0.779132099437995,0.779132099437995,0
"43",940,0.702600395660901,-0.660655599259641,0
"44",960,0.70147815976957,-0.353429738685018,-0.00335383631601801
"45",980,0.681398686233341,-0.681398686233341,0
