"","t","|DEV|","Re(DEV)","Im(DEV)"
"1",250,0.772023142611049,0.546008430267636,-0.321339314390754
"2",300,0.771579532229121,0.579003389305082,-0.324129830285471
"3",350,0.775169434843062,0.608238445354683,-0.300129515822644
"4",400,0.779219183790399,0.626773901123122,-0.300548507989004
"5",450,0.779610060151465,0.628928334180852,-0.277375634871666
"6",500,0.770724523994029,0.61044406787633,-0.292380216871145
"7",550,0.770527244971553,0.646429039090401,-0.276832276351686
"8",600,0.76856866886489,0.611432854004403,-0.25189181056758
"9",650,0.768852915630805,0.609454220207396,-0.261518699095745
"10",700,0.760655139344634,0.589421473443435,-0.279245266379842
"11",750,0.762046053590477,0.603008565271257,-0.251177836638078
"12",800,0.767881120940113,0.570941330463099,-0.261094247528207
"13",850,0.767117040740365,0.585850837439809,-0.274813962080625
"14",900,0.761234338289322,0.601065389132684,-0.265146241116406
"15",950,0.774354391107608,0.654142487700294,-0.246040768901995
"16",1000,0.770133268241291,0.626200409807131,-0.257228046567769
"17",1050,0.768055177619458,0.610812112905719,-0.25820082338734
"18",1100,0.778264028335735,0.587134204075782,-0.242062772332019
"19",1150,0.771954369706859,0.627679547571945,-0.233663948048153
"20",1200,0.768219112712444,0.662946688902552,-0.242860220944811
"21",1250,0.780039122124804,0.68588090988118,-0.226836542375111
"22",1300,0.783231105978779,0.673013569288542,-0.21347253712109
"23",1350,0.783801900390572,0.660643156961816,-0.221841953384245
"24",1400,0.777611755214929,0.633820202478792,-0.205080393446566
"25",1450,0.783918846121573,0.68138197626219,-0.225955547370731
"26",1500,0.785035363613104,0.683517297629993,-0.242914744716664
"27",1550,0.780818198715851,0.698893740300187,-0.234687431460832
"28",1600,0.784891536900427,0.681843988688243,-0.222009570581037
"29",1650,0.775369074665906,0.657723634338763,-0.195013229560793
"30",1700,0.771809324668261,0.695319755400072,-0.214086826900117
"31",1750,0.789850096672879,0.713654235644332,-0.207391907184262
"32",1800,0.775946089393335,0.669068773491573,-0.223973927870784
"33",1850,0.778130313682664,0.696762109760965,-0.219802414282826
"34",1900,0.786269232304477,0.666657593111659,-0.195061795768469
"35",1950,0.776644545931275,0.71491494245759,-0.177291266921865
"36",2000,0.785446925604632,0.707100078946343,-0.166225504901454
"37",2050,0.783631514529669,0.733534396999748,-0.169908540132944
"38",2100,0.785076828433213,0.696312954767874,-0.192673880952424
"39",2150,0.77504631868354,0.695393358292219,-0.195686879699187
"40",2200,0.786038211774562,0.718868887148351,-0.188964103718988
"41",2250,0.791957124281002,0.710241163495332,-0.178089860208246
"42",2300,0.805399158912677,0.718444007262826,-0.214747111739799
"43",2350,0.79974315295166,0.728645745218904,-0.210217293921943
"44",2400,0.787849917439639,0.686096506574,-0.189235587795636
"45",2450,0.793440885422733,0.718234165635307,-0.153677428440998
"46",2500,0.795341646201242,0.75845717483435,-0.142196690138679
"47",2550,0.785679255573811,0.735004663012511,-0.153346999471666
"48",2600,0.800260770033145,0.748214961656281,-0.142636402057019
"49",2650,0.810817023032493,0.771764827248466,-0.161364545250599
"50",2700,0.794250734315887,0.747190590789372,-0.175135364053509
"51",2750,0.790114650530279,0.741032574133429,-0.176121436737908
"52",2800,0.79595336899893,0.758393620927431,-0.151997330159019
"53",2850,0.799331550271118,0.762290283482053,-0.14372530239069
"54",2900,0.804144221864931,0.745311518622207,-0.142518522268177
"55",2950,0.808435826095119,0.769499224423279,-0.150585377156772
"56",3000,0.808313533995773,0.764002962695214,-0.14627416002052
"57",3050,0.801923656405965,0.764285374553551,-0.149169564606893
"58",3100,0.808982759659745,0.770899486858183,-0.129642113814622
"59",3150,0.815492445195642,0.77253871999481,-0.132450351128237
"60",3200,0.811563808524568,0.783498286523469,-0.118354329189148
"61",3250,0.808593470338793,0.782277262676026,-0.1170201970533
"62",3300,0.805057208343367,0.772132969916063,-0.123530147034925
"63",3350,0.81947715290334,0.795955107421521,-0.13432978231843
"64",3400,0.830686356217332,0.806233422216917,-0.118793798699157
"65",3450,0.829714397949297,0.800062774417446,-0.107001439979643
"66",3500,0.817090228751452,0.794693561265036,-0.11221815514263
"67",3550,0.823894586906367,0.801725674355961,-0.100709465720749
"68",3600,0.825437458769444,0.808511339875074,-0.106022419657599
"69",3650,0.827333339910168,0.802743458863937,-0.0940002700565851
"70",3700,0.832157785459438,0.817785031492114,-0.0905698857678886
"71",3750,0.833041522669653,0.80836151482773,-0.0990511766197744
"72",3800,0.831928820894561,0.813739233308288,-0.0923565306927346
"73",3850,0.835317365476252,0.810942960475343,-0.0906392292336664
"74",3900,0.839116899825006,0.824113232617034,-0.0764313354036114
"75",3950,0.843427582432386,0.830973994802206,-0.0859065656379011
"76",4000,0.840954596842401,0.82826588474767,-0.0864597026277825
"77",4050,0.838302408656356,0.822015991920598,-0.0793788258782741
"78",4100,0.845086535412427,0.836897380963752,-0.0669255729032961
"79",4150,0.850751583880779,0.841358629769666,-0.0736715306957977
"80",4200,0.85273506952714,0.843654268711253,-0.0752250858435791
"81",4250,0.868385490154082,0.861321025748864,-0.057916403636525
"82",4300,0.857862540439986,0.850703097734177,-0.0567642975907787
"83",4350,0.86638924922586,0.858790160316324,-0.0574813012486505
"84",4400,0.875211685122994,0.870392118270985,-0.0446531793822931
"85",4450,0.881147858962837,0.87475235136731,-0.0443567899621509
"86",4500,0.882800074689377,0.879641695232304,-0.0326703730926419
"87",4550,0.884156205631062,0.881420267367354,-0.0273838046199629
"88",4600,0.905117904442382,0.903411877103256,-0.0200125734064425
"89",4650,0.914566364204227,0.912762645232151,-0.0183704662340072
"90",4700,0.924216188114744,0.922815763178972,-0.0135285611242179
"91",4750,0.916904381469904,0.915406904584065,-0.0160671534403572
"92",4800,0.922827682796934,0.921094451457411,-0.0165536469546329
"93",4850,0.922225624067676,0.920286526522554,-0.0203665154871321
"94",4900,0.932361042209422,0.931899468688922,-0.00556995591532181
"95",4950,0.949721014118445,0.948628557742327,-0.0103099250203252
"96",5000,0.949779321489095,0.949124229034508,-0.00640330962412088
